panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,valp95_med,spread_med,label
129,580,142,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,
130,542,137,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,
131,510,131,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,
132,863,152,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,
133,818,146,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,
134,774,140,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,
135,732,135,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,
136,694,131,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
137,658,126,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
138,618,122,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,
139,585,116,0.0,0.0,0.0,0.0,0.0,0.0,103.6,0.0,
140,176,699,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
141,59,642,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,
142,8,565,0.0,0.0,0.0,0.0,0.0,0.0,134.8,0.0,
