frame_idx,panel_id,n_px,mean,std,min,max,p10,p90,hot_ratio,delta_frame,frame_mean
1,63,3034,54.01,9.83,43,96,50.0,66.0,0.0811,5.69,48.32
1,64,2753,54.73,9.11,44,95,51.0,61.8,0.0745,6.41,48.32
1,65,2135,57.37,7.6,45,95,54.0,61.0,0.067,9.06,48.32
1,66,2485,56.64,8.64,45,96,52.0,67.0,0.0708,8.32,48.32
1,67,3127,53.13,9.46,43,95,49.0,66.0,0.0803,4.81,48.32
1,68,3320,51.49,10.34,38,97,46.0,64.0,0.0786,3.18,48.32
1,69,3993,49.19,7.52,25,87,45.0,61.0,0.0751,0.87,48.32
1,70,5036,48.65,9.51,38,104,44.0,61.0,0.0689,0.34,48.32
1,71,4428,50.92,10.68,39,103,46.0,63.0,0.0795,2.6,48.32
1,72,3799,52.52,9.88,43,101,47.0,61.0,0.0761,4.2,48.32
1,73,3320,55.26,9.74,44,99,51.0,70.0,0.0831,6.94,48.32
1,74,1576,55.7,10.99,44,93,50.0,76.5,0.0952,7.38,48.32
1,75,3916,51.86,10.3,43,94,47.0,69.0,0.0909,3.54,48.32
1,76,5087,50.82,11.21,37,100,45.0,71.0,0.091,2.5,48.32
1,77,5693,48.03,9.15,38,102,43.0,63.0,0.0683,-0.29,48.32
1,78,1672,56.53,5.03,10,79,54.0,61.0,0.0425,8.21,48.32
1,79,245,65.27,10.74,53,92,56.0,82.0,0.0367,16.95,48.32
1,80,4127,57.64,4.44,43,85,54.0,64.0,0.0572,9.32,48.32
1,81,3487,59.9,6.67,51,89,57.0,69.0,0.0789,11.58,48.32
1,82,2771,61.62,5.67,51,86,58.0,70.0,0.0787,13.3,48.32
1,83,1477,63.45,4.75,57,84,60.0,72.0,0.0887,15.13,48.32
1,84,634,63.03,3.85,57,78,60.0,70.0,0.0868,14.71,48.32
1,85,107,62.79,3.29,57,74,60.0,68.0,0.0561,14.48,48.32
1,86,3530,57.41,9.17,6,91,56.0,64.0,0.0167,9.09,48.32
1,87,3045,60.98,6.07,51,87,57.0,70.6,0.0745,12.66,48.32
1,88,2712,63.47,5.61,53,89,59.0,72.0,0.0796,15.15,48.32
1,89,2667,60.35,4.93,31,90,57.0,65.0,0.033,12.03,48.32
1,90,2525,62.63,5.5,52,89,59.0,71.6,0.0792,14.31,48.32
1,91,2261,64.67,4.98,57,85,60.0,72.0,0.077,16.35,48.32
1,92,2425,59.6,9.93,6,83,58.0,66.0,0.0103,11.28,48.32
1,93,2075,62.86,4.85,56,83,60.0,72.0,0.0911,14.54,48.32
1,94,1677,61.63,4.77,51,79,58.0,70.0,0.0751,13.31,48.32
1,95,905,45.28,11.5,31,75,36.0,65.0,0.0464,-3.04,48.32
1,96,2190,59.88,11.42,7,85,58.0,66.0,0.0032,11.56,48.32
1,97,1821,65.27,4.56,58,86,61.0,73.0,0.073,16.95,48.32
1,98,1749,63.81,5.8,52,85,59.0,74.0,0.064,15.49,48.32
1,99,1580,46.45,11.44,32,80,37.0,65.0,0.0544,-1.87,48.32
1,100,2462,58.91,9.53,4,74,54.0,65.0,0.0,10.59,48.32
1,101,2197,63.31,5.02,42,86,60.0,70.0,0.0678,14.99,48.32
1,102,1845,64.17,5.16,43,82,61.0,73.0,0.0808,15.85,48.32
1,103,1672,64.55,4.93,40,81,61.0,72.0,0.061,16.23,48.32
1,104,1567,62.6,5.42,17,78,60.0,66.0,0.0038,14.28,48.32
1,105,1537,63.0,7.95,9,80,60.0,71.0,0.0026,14.68,48.32
1,106,1630,63.45,6.08,12,79,60.0,71.0,0.0061,15.13,48.32
1,107,1439,46.26,10.28,19,74,38.0,64.0,0.0542,-2.06,48.32
1,108,2151,61.43,8.82,7,82,59.0,66.0,0.0046,13.11,48.32
1,109,1860,64.79,4.83,57,85,61.0,73.0,0.0742,16.47,48.32
1,110,1762,64.83,4.27,58,81,61.0,72.0,0.076,16.51,48.32
1,111,1518,65.38,3.85,58,81,63.0,72.0,0.0665,17.06,48.32
1,112,1385,64.49,2.43,58,78,63.0,66.6,0.0542,16.17,48.32
1,113,1563,66.01,3.79,58,80,63.0,72.8,0.0685,17.69,48.32
1,114,1473,65.48,4.16,58,80,61.0,73.0,0.0794,17.16,48.32
1,115,1489,49.33,11.68,35,79,39.0,67.0,0.0175,1.01,48.32
1,116,2013,61.43,11.32,8,79,59.0,66.0,0.0,13.11,48.32
1,117,1886,65.44,4.21,58,82,62.0,73.0,0.0822,17.12,48.32
1,118,1706,65.77,3.6,59,81,63.0,72.0,0.092,17.45,48.32
1,119,1382,66.7,3.69,60,79,64.0,73.0,0.0557,18.39,48.32
1,120,1309,66.02,2.0,63,77,64.0,68.0,0.042,17.7,48.32
1,121,1347,67.49,3.15,60,79,65.0,73.0,0.0787,19.17,48.32
1,122,1311,67.7,2.82,60,77,65.0,73.0,0.0618,19.38,48.32
1,123,1216,49.32,11.83,35,76,38.0,68.0,0.0082,1.0,48.32
1,124,1621,64.87,6.21,17,80,63.0,68.0,0.0074,16.55,48.32
1,125,1572,67.27,3.67,60,80,64.0,73.9,0.0706,18.95,48.32
1,126,1461,67.54,3.24,60,80,65.0,73.0,0.05,19.22,48.32
1,127,1302,67.62,2.89,60,78,65.0,73.0,0.0584,19.3,48.32
1,128,1251,67.24,2.31,64,78,65.0,71.0,0.0679,18.92,48.32
1,129,1130,67.71,2.69,60,79,65.0,72.0,0.0257,19.39,48.32
1,130,1112,64.83,7.49,45,79,52.0,73.0,0.0,16.51,48.32
1,131,985,51.15,11.04,36,78,39.0,67.0,0.0061,2.83,48.32
1,132,1583,57.39,10.76,23,79,42.0,67.0,0.0006,9.07,48.32
1,133,1399,59.65,11.3,37,81,42.0,72.0,0.0,11.33,48.32
1,134,1308,59.24,10.92,36,77,42.0,71.0,0.0,10.92,48.32
1,135,1163,59.39,10.65,37,75,43.0,71.0,0.0,11.07,48.32
1,136,1094,59.74,10.42,38,75,44.0,71.0,0.0,11.42,48.32
1,137,1026,59.97,10.54,38,80,43.0,70.5,0.0,11.65,48.32
1,138,940,61.21,10.13,39,75,44.0,71.0,0.0,12.89,48.32
1,139,866,46.05,8.94,33,71,38.0,60.5,0.0647,-2.27,48.32
1,140,8769,41.56,15.7,26,107,33.0,65.0,0.0835,-6.76,48.32
1,141,11653,41.32,11.35,22,104,36.0,46.0,0.0572,-6.99,48.32
1,142,338,58.34,20.36,33,101,39.0,90.0,0.0118,10.02,48.32
2,0,11183,41.1,18.75,25,110,31.0,70.0,0.089,-7.18,48.29
2,1,18360,38.6,11.54,23,118,33.0,43.0,0.0422,-9.69,48.29
2,2,18920,40.81,13.32,26,113,35.0,45.0,0.0591,-7.48,48.29
2,3,16945,41.06,9.99,26,110,37.0,43.0,0.038,-7.23,48.29
2,4,13240,43.25,8.1,32,104,39.0,45.0,0.0404,-5.03,48.29
2,5,9704,46.75,9.79,33,109,42.0,49.0,0.0584,-1.53,48.29
2,6,12390,43.65,6.72,32,101,40.0,45.0,0.0351,-4.64,48.29
2,7,5643,44.33,13.66,29,111,37.0,59.0,0.0771,-3.95,48.29
2,8,15202,41.74,11.2,30,114,36.0,45.0,0.0465,-6.54,48.29
2,9,18698,39.92,9.26,26,111,35.0,44.0,0.0375,-8.36,48.29
2,10,13750,45.38,8.41,33,104,41.0,47.0,0.0443,-2.9,48.29
2,11,12563,47.47,8.73,36,115,44.0,50.0,0.0476,-0.82,48.29
2,12,8473,47.43,5.72,37,97,45.0,49.0,0.0423,-0.86,48.29
2,13,6694,49.02,6.55,39,96,46.0,51.0,0.0547,0.73,48.29
2,14,9550,49.21,7.71,37,101,45.0,52.0,0.0586,0.93,48.29
2,15,7111,50.81,8.18,40,103,46.0,57.0,0.0551,2.53,48.29
2,16,6346,50.81,6.1,40,94,47.0,53.0,0.0512,2.53,48.29
2,17,5683,53.91,8.15,42,94,50.0,63.8,0.0711,5.62,48.29
2,18,5212,54.88,15.83,4,75,37.0,71.0,0.0,6.6,48.29
2,19,3987,55.71,5.32,44,87,53.0,60.4,0.0477,7.43,48.29
2,20,4273,53.49,4.57,43,89,51.0,57.0,0.0496,5.21,48.29
2,21,4629,52.14,3.64,44,86,50.0,53.0,0.04,3.86,48.29
2,22,5278,51.98,3.03,43,74,50.0,53.0,0.039,3.69,48.29
2,23,6045,51.81,5.73,39,94,49.0,54.0,0.0529,3.52,48.29
2,24,1725,55.63,7.07,47,101,52.0,60.0,0.0441,7.34,48.29
2,25,4421,54.95,4.44,45,92,52.0,59.0,0.0561,6.66,48.29
2,26,3784,55.47,3.66,46,88,53.0,58.0,0.0502,7.19,48.29
2,27,3213,55.85,2.54,50,72,54.0,58.0,0.0529,7.57,48.29
2,28,3307,58.27,7.14,50,91,54.0,64.0,0.0783,9.98,48.29
2,29,2597,59.76,5.5,52,89,57.0,63.0,0.0647,11.47,48.29
2,30,2601,58.57,2.6,51,80,57.0,60.0,0.035,10.28,48.29
2,31,2817,58.1,2.45,47,82,56.0,60.0,0.0305,9.81,48.29
2,32,2456,58.0,3.37,52,87,56.0,60.0,0.0387,9.71,48.29
2,33,2141,59.69,2.77,51,80,58.0,61.0,0.035,11.4,48.29
2,34,2669,61.8,4.99,52,91,59.0,67.0,0.0821,13.51,48.29
2,35,2333,61.22,3.53,56,82,59.0,65.0,0.0574,12.93,48.29
2,36,2064,56.61,9.84,37,86,42.0,65.0,0.0291,8.33,48.29
2,37,2108,56.05,10.66,37,83,39.0,65.3,0.0247,7.77,48.29
2,38,350,63.85,5.0,57,78,60.0,73.0,0.0943,15.57,48.29
2,39,1977,56.54,10.79,31,81,39.0,67.0,0.004,8.25,48.29
2,40,2056,63.94,3.99,41,85,61.0,67.0,0.0511,15.66,48.29
2,41,2251,60.92,2.65,54,82,59.0,64.0,0.0458,12.64,48.29
2,42,2707,59.35,3.39,52,81,57.0,64.0,0.0584,11.07,48.29
2,43,3252,58.06,4.23,50,80,54.0,65.0,0.0723,9.78,48.29
2,44,2747,58.57,3.41,52,90,57.0,61.0,0.0451,10.29,48.29
2,45,2301,59.59,2.42,54,78,58.0,61.0,0.0456,11.31,48.29
2,46,2040,61.68,4.35,54,86,59.0,64.0,0.0554,13.39,48.29
2,47,1800,64.87,4.33,56,84,61.0,71.0,0.0733,16.58,48.29
2,48,1821,58.01,11.28,36,82,40.0,72.0,0.0049,9.73,48.29
2,49,1655,58.35,11.13,32,84,42.0,72.0,0.006,10.07,48.29
2,50,1662,65.9,4.32,57,82,63.0,73.0,0.083,17.61,48.29
2,51,1767,63.31,3.92,54,84,60.0,65.0,0.0526,15.03,48.29
2,52,2368,63.07,6.08,54,87,59.0,73.0,0.0811,14.79,48.29
2,53,2739,61.58,5.87,45,90,58.0,66.0,0.0675,13.3,48.29
2,54,4198,60.22,15.45,7,74,36.0,71.0,0.0,11.93,48.29
2,55,3315,57.54,17.57,6,74,22.0,71.0,0.0,9.26,48.29
2,56,3054,56.28,18.53,6,75,18.0,71.0,0.0,7.99,48.29
2,57,2576,56.97,17.1,3,75,21.0,68.0,0.0,8.69,48.29
2,58,3381,59.54,6.78,49,90,56.0,66.0,0.0663,11.26,48.29
2,59,4347,57.34,7.94,45,95,53.0,68.0,0.0683,9.05,48.29
2,60,4756,54.93,8.75,42,95,51.0,65.0,0.073,6.64,48.29
